Run	Charge
332	576.82
333	574.578
334	571.629
335	575.246
336	572.566
337	567.828
338	575.812
339	577.031
340	577.539
341	571.967
342	572.711
343	569.388
344	573.297
345	575.586
346	645.782
347	579.422
348	570.302
349	680.117
350	574.492
351	573.242
352	570.107
353	576.312
354	576.037
355	572.031
356	575.016
357	672.268
358	571.664
359	577.211
360	579.289
361	575.859
362	673.391
363	576.531
364	574.391
365	575.062
366	574.484
367	577.953
368	575.953
369	577.509
370	577.125
371	573.258
372	569.859
373	574.047
374	573.438
375	577.434
376	567.551
377	574.016
378	573.883
379	573.445
380	571.85
381	572.189
382	575.516
383	573.672
384	576.738
385	571.484
386	569.555
387	571.158
388	578.609
389	575.359
390	574.023
391	570.859
392	576.243
393	574.367
394	585.806
395	575.047
396	569.93
397	578.129
398	573.461
399	574.894
400	574.102
401	573.875
402	572.35
403	577.023
404	572.648
405	577.156
406	576.586
407	569.371
408	576.754
409	574.59
410	574.922
411	575.047
412	575.887
413	577.812
414	573.793
415	570.812
416	574.609
417	574.387
418	572.445
419	576.582
420	579.152
421	568.672
422	575.328
423	573.812
424	573.066
425	574.547
426	576.445
427	571.609
428	579.955
429	576.688
430	673.016
431	574.328
432	572.691
433	577.727
434	574.984
435	574.445
436	576.789
437	574.055
438	572.742
439	574.531
440	577.156
441	578.99
442	576.531
443	574.441
444	577.629
445	573.781
446	571.242
447	575.094
448	578.312
449	577.969
450	571.656
451	578.531
452	570.891
453	573.785
454	579.453
455	571.984
456	574.234
457	571.402
458	578.102
459	573.461
460	570.547
461	573.031
462	576.117
463	574.492
464	576.95
465	574.727
466	569
467	576.641
468	573.93
469	574.125
470	576.305
471	568.01
472	571.039
473	572.523
474	574.523
475	574.918
476	573.609
477	574.062
478	574.156
479	575.672
480	575.453
481	569.566
482	569.805
483	574.969
484	578.602
485	577.244
486	570.801
487	575.84
488	578.676
489	571.512
490	572.297
491	572.613
492	573.953
493	570.812
494	577.359
495	578.359
496	573.312
497	577.656
498	276.453
499	576.688
500	690.742
501	569.941
502	577.223
503	576.781
504	575.963
505	571.742
506	573.672
507	572.488
508	580.484
509	580.078
510	570.227
511	570.031
512	569.844
513	576.271
514	575.688
515	573.695
516	577.289
517	662.884
518	573.414
519	578.133
520	576.289
521	576.797
522	575.828
523	574.469
524	579.734
525	576.188
526	576.492
527	571.242
528	672.375
529	575.383
530	572.742
531	577.389
532	577.941
533	680.012
534	574.875
535	572.117
536	577.23
537	577.438
538	574.949
539	578.875
540	574.5
541	574.891
542	574.906
543	571.969
544	574.594
545	573.98
546	576.297
547	569.609
548	578.246
549	576.117
550	573.742
551	573.609
552	581.25
553	572.036
554	576.516
555	572.102
556	575.016
557	569.789
558	636.889
559	580.906
560	575.34
561	573.453
562	566.898
563	574.883
564	575.152
565	576.016
566	666.672
567	574.008
568	571.977
569	576.289
570	576.113
571	573.758
572	576.242
573	576.062
574	575.734
575	575.629
576	576.719
577	573.02
578	572.953
579	575.328
580	578.719
581	576.551
582	570.059
583	577.883
584	576.125
585	572.969
586	575.031
587	573.803
588	570.875
589	573.687
590	569.195
591	574.756
592	575.133
593	575.18
594	575.812
595	575.516
596	574.431
597	568.484
598	673.125
599	573.039
600	574.75
601	578.586
602	578.093
603	573.203
604	572.844
605	574.766
606	574.094
607	574.359
608	574.32
609	577.492
610	573.578
611	573.594
612	574.633
613	571.98
614	576.902
615	577.828
616	575.625
617	576.5
618	571.977
619	574.047
620	576.383
621	573.424
622	572.852
623	577.756
624	574.328
625	572.07
626	576.562
627	570.391
628	577.82
629	579.633
630	575.719
631	572.883
632	573.426
633	573.742
634	571.999
635	572.875
636	574.579
637	572.609
638	571.266
639	582.883
640	583.828
641	575.975
642	580.693
643	580.211
644	581.984
645	581.802
646	583.359
647	578.982
648	579.711
649	581.953
650	577.77
651	576.531
652	581.035
653	582.477
654	580.469
655	578.836
656	583.992
657	577.459
658	579.484
659	577.297
660	578.117
661	580.969
662	572.833
663	578.43
664	584.523
665	582.305
666	577.32
667	579.382
668	583.492
669	581.387
670	577.867
671	582.188
672	579.738
673	584.637
674	576.109
675	21.6328
676	580.633
677	582.422
678	581.914
679	586.547
680	581.656
681	585.875
682	581.523
683	582.224
684	579.82
685	586.297
686	578.117
687	579.668
688	583.516
689	581.24
690	679.561
691	578.697
692	577.336
693	580.984
694	577.41
695	581.289
696	579.328
697	579.602
698	574.164
699	575.785
700	579.109
701	581.395
702	577.465
703	582.91
704	580.52
705	580
706	582.188
707	583.171
708	580.258
709	582.344
710	582.148
711	580.057
712	582.925
713	577.773
714	581.25
715	577.32
716	571.891
717	581.068
718	577.898
719	577.211
720	583.562
721	582.48
722	578.25
723	574.266
724	580.281
725	580.781
726	581.684
727	578.891
728	584.324
729	582.34
730	575.02
731	576.336
732	579.762
733	577.893
734	579.656
735	577.641
736	582.766
737	581.139
738	576.858
739	585.344
740	578.305
741	579.208
742	583.258
743	580.037
744	580.68
745	584.148
746	581.328
747	578.8
748	582.869
749	579.117
750	580.73
751	585.887
752	581.641
753	577.051
754	581.232
755	577.352
756	580.352
757	581.307
758	680.707
759	580.438
760	579.656
761	585.211
762	575.544
763	583.381
764	580.58
765	575.217
766	580.398
767	582.188
768	577.891
769	579.082
770	581.539
771	579.758
772	581.441
773	581.236
774	680.252
775	577.172
776	583.633
777	578.809
778	579.309
779	577.027
780	577.105
781	578.336
782	581.311
783	581
784	581.536
785	578.742
786	577.906
787	577.766
788	679.586
789	580.456
790	577.791
791	583.102
792	581.871
793	577.639
794	577.223
795	577.215
796	579.18
797	582.379
798	576.148
799	579.176
800	581.859
801	580.375
802	580.492
803	582.141
804	580.242
805	581.316
806	573.92
807	579.258
